review_text,review_id,true_labels,predicted_labels,false_positives,false_negatives,n_false_positives,n_false_negatives
"Die App bietet gute Funktionen und man kann vieles digital erledigen. Aber die Ladezeiten sind manchmal einfach zu lang und besonders das Verhalten, wenn man die App mal verlassen muss, um was nachzuschauen, ist stark verbesserungsbedürftig. Man muss immer wieder seinen PIN eingeben, hier sollte sich doch Face ID recht einfach einbauen lassen? Und dann dauert es erstmal wieder 10 Sekunden bis der vorherige Screen wieder da ist. Es kommt auch recht oft zu irgendwelchen unspezifischen Fehlermeldungen. Meine Freundin ist bei der TK und da funzt das alles so viel besser…",11843476541,auth_registration;tech_stability_crash;usability_ui,customer_service;document_management;general_feedback;tech_stability_crash;usability_ui,customer_service;document_management;general_feedback,auth_registration,3,1
"An sich ist Krankenkasse nicht zu empfehlen. Aber ob es wo anders besser ist? Da wir Politiker haben, die gegen den Bürger und für eigenen Geldbeutel arbeiten und von der Pharma bezahlt werden ..und das System mit Absicht zerstören..bin ich am zweifeln..warten schon 3 Wochen auf Rezept..früher nach 3 Tagen im Briefkasten bei anderer Krankenkasse.. .",270a8136-d43e-4702-8006-23d765a7b8cd,general_feedback,auth_registration;tech_stability_crash;usability_ui,auth_registration;tech_stability_crash;usability_ui,general_feedback,3,1
"Die Installation der APP geht noch, aber was danach passiert:
-trotz vorhandener Serviceapp mit vorhandener Registrierung muss noch  einmal ein kompletter Registrierungsvorgang durchlaufen werden
- die Kontrollkästchen für die Zustimmerklärung reagiert nur scheinbar zufällig auf den Fingertipp
- vorhandene, vorgelegte Eingabefelder lassen sich nicht überschreiben
- fehlerhafte Registrierungsdaten werden vom Dienstleister in einer nicht akzeptablen Zeit (> 2 Wochen) korrigiert,

Neben einer funktionell gut ausgestatteten Anwendung ist es unabdingbar den sekundären Service Kundenfreundlich und schnell zu liefern. Hier ist noch sehr viel Luft nach oben.",10905211253,auth_registration;customer_service;usability_ui,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash,customer_service,1,1
"Die App funktioniert nicht. Es ist ""ein Fehler aufgetreten"" Die App hat noch nie funktioniert, 2025 nicht und auch 2024 schon nicht. Super Service 🤣🤣🤣",289f553e-615d-4eb5-9d9c-f9cb5d71d5f0,tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,,2,0
"Gerne hätte ich null Sterne gegeben. Nach dem die Krankenkasse es nicht hinbekommen hat mir zu Beginn meiner Versicherung die Versicherungskarte zu zu senden wollte ich sie nun online aktivieren um morgen wegen eines Notfalls zum Arzt gehen zu dürfen. Nur leider ist dies mit der HEK scheinbar nicht möglich. Die Anmeldung hängt sich ständig auf. Ich habe sie bereits mehrfach geschlossen, abgewartet und sogar neu installiert, aber nichts geht. Ich bin stinksauer und werde die HEK schnellstmöglich kündigen….so ein schlechter Service ist unfassbar",12177085053,auth_registration;customer_service;general_feedback;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,customer_service;general_feedback,1,2
erspart viel Zeit ist echt prima,133bf640-ccfa-4bc8-af98-ad6c4d567c60,general_feedback,customer_service;document_management;general_feedback;usability_ui,customer_service;document_management;usability_ui,,3,0
Sehr zufrieden,5a342b28-4ee2-4e25-b9d9-e915c21781d1,general_feedback,customer_service;document_management;general_feedback;usability_ui,customer_service;document_management;usability_ui,,3,0
Leider kann ich die App nicht nutzen obwohl ich die Verifizierung durchführe und per Mail bestätige. Immer wieder wird der Vorgang wiederholt und man kommt nicht in das Menü,12270341989,auth_registration;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,,1,0
"die ganze registrierung/anmeldung mit gesundheitsID/smarthealth funktioniert seit monaten immer wieder nicht richtig und produziert neue fehler, sodass man nicht auf die eigenen daten zugreifen kann. so leider komplett nutzlos.",6b073b5e-9b0d-402a-b974-832c8a3b2d5c,auth_registration;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,,1,0
die App ist eine wunderbare Sache. komplikationslose Bedienung 👍🏼👍🏼👍🏼,2ff7eab5-b198-4d28-9f71-f9f1c6b07254,general_feedback;usability_ui,customer_service;document_management;general_feedback;usability_ui,customer_service;document_management,,2,0
nach zwischenzeitlichen problemen alles wieder in Ordnung. Es wäre super eine Möglichkeit zu integrieren um abzufragen ob E-Rezepte bereits vorliegen.,5cfbd0e0-0e39-492f-8b75-94bec6b9fdbb,general_feedback;smarthealth_epa_features;tech_stability_crash,customer_service;document_management;general_feedback;usability_ui,customer_service;document_management;usability_ui,smarthealth_epa_features;tech_stability_crash,3,2
"Die App ist absolut unbrauchbar. Seit Monaten versuche ich, mich für die Smart-Funktion erneut anzumelden. Ohne Erfolg. Weder über den Personalausweis noch über die Gesundheitskarte möglich. Ich kann keine PIN per Brief anfordern, weil auch da nur eine Fehlermeldung kommt. Die wirklich nützlichen Funktionen gibt es halt leider nur bei Smart und darauf bekomme ich keinen Zugriff. So ist die App echt ein Armutszeugnis.",2041b200-4239-4b76-bda9-8eea69e12ba9,auth_registration;general_feedback;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,general_feedback,1,1
"Login sehr umständlich und langwierig App stürzt oft ab. App Kommunikation mit den Server öfter gestört.

Die folgenden Updates brachten eine Verbesserung, läuft jetzt stabil.",11214878134,auth_registration;general_feedback;tech_stability_crash;updates_versions,auth_registration;tech_stability_crash;usability_ui,usability_ui,general_feedback;updates_versions,1,2
"Diese App ist so schlecht umgesetzt, dass ich ihren Sinn nicht verstehe. Ständig muss man sich neu anmelden. Impfungen und Arztbesuche werden nicht automatisiert angezeigt. Was ist der Sinn des Feldes dann? Dazu stürzt sie auch nach wie vor gerne mal ab.",13784736803,auth_registration;smarthealth_epa_features;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,smarthealth_epa_features,1,1
"Da geht nichts mehr. Ich werde zu einem Updat auf gefordert Das läßt sich aber nicht installieren. Im Kontakt steht die Meldung Entschuldigung, es ist ein Fehler passiert. So ist die ach so schöne neue Krankheitsverwaltung für Patienten der komprimierte Unfug. Für die aufgeblähte Registrierung musste ich mich stundenlang herumplagen. Als kranker Mensch hat man andere Sorgen als sich mit digitalem Horror herum zu ärgern.",2775479a-18ba-4ccd-8beb-b178d19bcc03,auth_registration;tech_stability_crash;updates_versions,auth_registration;tech_stability_crash;usability_ui,usability_ui,updates_versions,1,1
Frustrierend langsam,13703459877,tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,,2,0
"bis vor kurzem hat die online Funktion gar nicht funktioniert. Das Problem ist mittlerweile gelöst worden. ich kann mich nun anmelden und auf die Services zugreifen. ein weiteres Update folgt, sobald mehr Erfahrung vorliegt.",e0971410-bd83-433f-89fa-0583399d6ec3,auth_registration;general_feedback;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,general_feedback,1,1
"Nach nur 3 Monaten schon wieder ein Update und schon wieder registrieren. Das geht gar nicht! Dazu kommt, dass Nect nun nicht mal mehr das Scannen hinbekommt. Ich habe 3x minutenlang alles ausgeleuchtet, nix niente nada! Kriegt das endlich auf die Kette. Die App ist fast ein Grund die Krankenkasse zu wechseln! Ich schicke dann die Unterlagen mal per Post 😡",dd741ea1-f0b1-4cfc-8f99-ce73b1c7c62e,auth_registration;document_management;general_feedback;updates_versions,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,document_management;general_feedback;updates_versions,2,3
Die App ist total unübersichtlich und eig nur als Basic zu nutzen da es nicht funktioniert sich für das smart zu verifizieren. Man wird nicht vernünftig zu den Apps weitergeleitet und kommt dann garnicht weiter weil irgendwas fehlt. Würde gerne die App nutzen aber leider unmöglich für mich.,12676404014,auth_registration;usability_ui,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash,,1,0
"Also ich beschwere mich ja selten und bin von der letzten Kassen App Kummer gewohnt. Aber diese App ist die Krönung. Autokorrektur ist deaktiviert. Jegliches Tippen ist eine Qual. Ich dachte erst, ich sei dement, bis ich merkte, dass die Tastatur nicht automatisch korrigiert. Meine ePa geht nicht. Insgesamt ist die Optik altbacken. Bitte GPT Nachhilfe für die Entwickler oder Agentur wechseln. Für mich ist diese miese App ein Grund, die Kasse wieder zu wechseln.",13473623950,general_feedback;smarthealth_epa_features;usability_ui,auth_registration;tech_stability_crash;usability_ui,auth_registration;tech_stability_crash,general_feedback;smarthealth_epa_features,2,2
Nur Probleme beim Registrieren und Anmelden. Ständig kommen irgendwelche Fehlermeldungen,4cbf9bc5-f470-47f6-a28c-d3b30e607f21,auth_registration;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,,1,0
"Sobald ich die App öffne, erscheint eine Fehlermeldung bzgl der fehlerhaften Kommunikation mit dem Server und ich kann nichts tun. Deinstallieren und erneut installieren ändert ebenfalls nichts, somit ist die App unbrauchbar für mich.",ec9a082f-1d3b-4fa6-90f2-2dbdd758d95d,tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,,2,0
"Seit Anfang Juli erscheint beim Öffnen der App - auf allen drei Handys - folgendes ""Dieser Dienst steht gerade nicht zur Verfügung"". Habe bereits EMail Kontakt zur HEK aufgenommen, aber ausser, dass mittlerweile zwei Aktualisierungen erfolgten, ich es erneut versuchen soll und der technische Support informiert wurde, ist bisher keine Besserung in Sicht.",c9cd4b0a-98ba-46cd-b343-114cb697abab,customer_service;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,customer_service,2,1
Super finde ich die App Kommunikation! Alle Tools sehr praktisch genau wie die Übermittlung von Dokumenten und Unterlagen. Einfach smart :),12439923083,document_management;general_feedback,customer_service;document_management;general_feedback;usability_ui,customer_service;usability_ui,,2,0
"Sicherheitsschlüssel erstellt, soll ihn dann eingeben um endlich die Akte sehen zu können und dann steht da, dass die Paare nicht übereinstimmen. Zeit und Nerven für umsonst verschwendet, vielen Dank auch...",2aac815f-040a-4e12-8688-4f43e848cb43,auth_registration;smarthealth_epa_features,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,smarthealth_epa_features,2,1
"Dokumente werden angekündigt, in jedem zweiten Fall kann ich dann trotzdem nicht zugreifen.  Bei Wechsel in einer andere App muss man sofort wieder sich neu einloggen mit den bekannten blinkenden Screens. Am schlimmsten finde ich allerdings, dass die Ehepaar bereits seit mehreren Tagen wieder gar nicht mehr funktioniert und der Support auch keine Angabe machen kann, wann man da wieder zugreifen kann.",12959781095,auth_registration;customer_service;document_management;smarthealth_epa_features;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,customer_service;document_management;smarthealth_epa_features,1,3
"Keine Anmeldung möglich ; extrem schlecht programmiert ; da ich meine ePA haben möchte, werde ich zur TK wechseln",13241130555,auth_registration;general_feedback;smarthealth_epa_features,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,general_feedback;smarthealth_epa_features,2,2
"Jetzt funktioniert wieder alles wie es soll,
Toller und schneller Service wie immer :)",11879861943,customer_service;general_feedback,customer_service;document_management;general_feedback;usability_ui,document_management;usability_ui,,2,0
versenden von Dokumenten funktioniert. Super,ec81fe7d-8380-44b6-aa48-09e9a52e3de4,document_management;general_feedback,customer_service;document_management;general_feedback;tech_stability_crash;usability_ui,customer_service;tech_stability_crash;usability_ui,,3,0
"Nach Wochenlangen hin und her mit Service Krankenkasse habe ich alle Registrierungen usw erledigt. Dann zu guter letzt kommt in der App seit Stunden der Hinweis: bitte haben sie etwas Geduld …….
Nur die habe ich nun nicht mehr. 
Die App ist überflüssig und nutzlos",12184217972,auth_registration;customer_service;general_feedback;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,customer_service;general_feedback,1,2
"An sich eine gute App, die das macht, was sie soll. Zumindest untill now :P.
Kleiner Tipp an die Devs: Wenn man noch nicht seine ePA in der ePA App eingerichtet hat, obwohl es in der ePA App so scheint, als wäre man mit dem Anmeldeprozess fertig, wirft die Service App eine Endlosschleife von “Es könnte 10min dauern, bis ihre Patientenakte eingerichtet ist” oder so in der Art aus. Es wird aber nicht darauf hingewiesen, dass man das selbstständig in der ePA App machen muss. Hier sollte vielleicht eine sinnvollere Fehlernachricht ohne endloses Pop-Up eingerichtet werden.
Unter den digitalen Dokumenten fehlt noch der Antwortbogen zur Familienversicherung und manche Sortierungen sind noch nicht sehr benutzerfreundlich (Suchfenster, oder logischere Sortierung (klare Trennung von Flyern und wichtigen Dokumenten z.B., da momentan Flyer einmal einzeln, jedoch auch zwischen den wichtigen Dokumenten auffindbar sind)).

Die häufige Abfrage des PINs finde ich persönlich super, da man diesen direkt üben kann und es ja recht schnell geht.
Diese App ist gut und hat noch viel Potenzial, was in Zukunft ausgearbeitet werden kann. Sehr unterstützenswert!",12647307107,auth_registration;document_management;smarthealth_epa_features;tech_stability_crash;usability_ui,customer_service;document_management;general_feedback;usability_ui,customer_service;general_feedback,auth_registration;smarthealth_epa_features;tech_stability_crash,2,3
"Leider funktioniert die App einfach nicht so, bzw. nicht alle Funktionen. Die EPA Akte ist nicht einsehbar. ""Ein unerwarter Fehler"". nicht lösbar nach mehrmaligem anschreiben. Ansonsten = Rechnungen und Anträge können gut darüber versendet werden.",706ff340-f3cd-4df5-aefd-58b5c8e138c0,customer_service;document_management;smarthealth_epa_features;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,customer_service;document_management;smarthealth_epa_features,2,3
"Bin neues Mitglied und wollte über die beworbene App mein Passfoto hochladen. Registrierung in der App ist nicht möglich. Angeblich sind die bei der HEK hinterlegten Daten nicht identisch mit denen auf meinem Personalausweis. Spoiler: Sind sie doch, Briefe kommen ja an und auch Name und Geburtsdatum stimmen überein. Drücke ich in der App auf ""Kontakt aufnehmen"", kommt die Meldung ""es ist ein unerwarteter Fehler aufgetreten."" Ist die HEK in allen Angelegenheiten so unprofessionell?",668a518d-9b00-4465-bf9e-3439911d14d9,auth_registration;customer_service;document_management;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,customer_service;document_management,1,2
"Die App startet nicht mehr, habe den Cache und die Daten gelöscht und neu eingerichtet. Es kommt in Dauerschleife, dass die Daten in den gesicherten Bereich geschrieben werden. Update: Nun Funktioniert die App wieder.",2482204a-9765-4be8-9f73-00a2f3cf4e05,auth_registration;general_feedback;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,general_feedback,1,1
"Morgens lag ein Dokument im Posteingang, überflogen, festgestellt, war fehlerhaft, löte mich nachmittags darum kümmern. Nachricht komplett verschwunden. Hotline angerufen, verstehe man nicht, soll es am nächsten Tag probieren. Dokumente weiterhin weg für mich, stattdessen kam eine korrigierte Version. Wenn jedoch Dokumente ohne Hinweis und meinem Posteingang verschwinden können, nachdem ich diese bereits gelesen habe, verliert die Glaubwürdigkeit  der App jegliches Vertrauen.",13033010521,customer_service;document_management,auth_registration;tech_stability_crash;usability_ui,auth_registration;tech_stability_crash;usability_ui,customer_service;document_management,3,2
Die App funktioniert sehr gut und ist eine gute Erleichterung,11198387007,general_feedback,customer_service;document_management;general_feedback;usability_ui,customer_service;document_management;usability_ui,,3,0
schnelle Bearbeitung,b724e435-e90d-4fc7-9ef7-c8d6fe2f93fc,customer_service;general_feedback,customer_service;document_management;general_feedback;usability_ui,document_management;usability_ui,,2,0
Bisher konnte ich keinen Nutzen der HEK-App erkennen. Nicht einmal QR-Codes auf einem HEK-Formular lassen sich scannen. Reine Zeitverschwendung.,12397051870,document_management,auth_registration;tech_stability_crash;usability_ui,auth_registration;tech_stability_crash;usability_ui,document_management,3,1
"Registrierung lief reibungslos, Kommunikation eher wild und ungeordnet. Leider kann man nicht wirklich auf Nachrichten antworten. Alles landet ungeordnet im ""gesendet"" Ordner. Ob irgendwer mein Anliegen bearbeitet ist nicht zu erkennen. Sehr viel Potential nach oben. 3 Jahre später: es hat sich nichts verändert. meine Frau hat bei einer anderen Krankenkasse 3 Tage später als ich Kinderkrankengeld beantragt, ihr Geld ist bereits auf dem Konto. ich kann nicht einmal sehen ob es jemand bearbeitet",64719ca3-c732-48fe-9058-4db2721ab562,auth_registration;customer_service;document_management,auth_registration;tech_stability_crash;usability_ui,tech_stability_crash;usability_ui,customer_service;document_management,2,2
"oft überlastet, daher langsam.",26332ee8-78a4-406c-a52f-22ba08159050,tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,auth_registration;usability_ui,,2,0
"Mit keiner anderen App habe ich so viele Probleme, wie mit dieser! Ständig bekomme ich Fehlermeldungen und kann die App manchmal nicht mal richtig öffnen. Wie oft ich schon dazu aufgefordert wurde, mich neu auszuweisen und eine neue ID zu vergeben, kann ich schon gar nicht mehr zählen. Wirklich nervig! Ch hoffe das ändert sich mal.",13685049473,auth_registration;tech_stability_crash,auth_registration;tech_stability_crash;usability_ui,usability_ui,,1,0
